Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	-0.140579709919497	-0.218239624913207	1.03007441157465	-17.6660318475228	35.9083292598166	-1.05373841330807	0
2	0.015625	-0.102865126746175	-0.171114654091935	1.09540114951489	-14.3979018143071	37.5020852964973	-7.21163309786322	0
3	0.0234375	-0.0144567526418826	-0.175197537637975	1.10701693179845	-17.2695198057877	41.310867249335	-11.5807120328584	0
4	0.03125	-0.0943727066694255	-0.166495087420992	1.10629429685568	-18.4347384581827	44.9615449336462	-8.04794129363545	0
5	0.0390625	-0.0957258845660741	-0.148855520172504	1.10065106829692	-18.6166774629217	46.5711536696253	-10.8081858224096	0
6	0.046875	-0.0440003104234485	-0.170842031045292	1.10587686928726	-18.7872072573519	49.0966613995619	-16.5467413113122	0
7	0.0546875	-0.186665692351996	-0.186797035030019	1.06846593616623	-18.7147149347802	53.0501458463168	-26.636454591699	0
8	0.0625	-0.230937384434069	-0.166598099709536	1.03176414457132	-16.4706316827354	54.1185850463057	-41.0921817867306	0
9	0.0703125	-0.220947771710455	-0.147146365167228	1.04022228076488	-14.0132034905836	55.5558012285194	-71.3416596985612	0
10	0.078125	-0.161781106530117	-0.143268813907433	1.00203450649931	-12.154667424213	60.417492868163	-106.362982351249	0
11	0.0859375	-0.0805126852288097	-0.139316796105313	0.981610785169803	-11.4102016953987	63.9671410764475	-116.892852930674	0
12	0.09375	0.0617619017682602	-0.155450622926605	0.975035511618199	-9.49401977621983	68.8371791869585	-116.771066054035	0
13	0.1015625	0.113714030512499	-0.137980290609065	0.975647916412481	-9.75148071155204	70.1872177201032	-103.836674144042	0
14	0.109375	0.0948892260361306	-0.132434124267355	0.94086955590962	-10.7868937775913	69.9505113687775	-97.3592553242711	0
15	0.1171875	0.186398747182961	-0.143711279715459	0.90771221582286	-10.3860395272175	68.539959632459	-91.0455854740779	0
16	0.125	0.195488255970742	-0.147643956207986	0.857864851894386	-12.2168456418923	66.6986724720806	-80.4769184704823	0
17	0.1328125	0.200875194055767	-0.146969396141964	0.836205504155021	-12.4817535028532	65.7229187540784	-75.8546973510534	0
18	0.140625	0.187948453147644	-0.145280215078759	0.812857395157981	-11.7658404047456	61.9854903488091	-72.3903183208179	0
19	0.1484375	0.199848265652382	-0.124489661363925	0.811335119805876	-12.540866910154	56.9056352057217	-67.4013209544231	0
20	0.15625	0.0661379554256772	-0.0866474100422273	0.774469982674718	-14.6634183146405	53.1410683018001	-60.6527804567323	0
21	0.1640625	0.230728610245141	-0.146693542086537	0.786225681167225	-10.440781856327	47.9475119733772	-74.9539097291206	0
22	0.171875	0.250449591945644	-0.166881362567861	0.83810875136409	-10.1975515387762	45.0298163310537	-71.1896016512044	0
23	0.1796875	0.239904271299225	-0.0673459360895332	0.859776303838987	-10.7523161958176	42.8504477750499	-68.8463680490278	0
24	0.1875	-0.122283008063203	-0.0331589136140756	0.739783126483662	-18.1991050411034	34.1059029353353	-57.9653867645875	0
25	0.1953125	-0.531105635625165	0.095231545633895	0.599382531000725	-22.1818365635186	22.415025652101	-64.6493241895915	0
26	0.203125	-0.434245044912127	0.0704183126906011	0.504879814036811	-18.8868913732867	15.5986564327499	-85.6946443165791	0
27	0.2109375	-0.657031260369061	-0.036056846925191	0.548614392898148	-8.7586755765133	8.54793677338989	-105.407301625856	0
28	0.21875	-0.323509937232723	-0.047244242146033	0.715516978502198	-2.06268865010937	-3.62494235247789	-141.297255000911	0
29	0.2265625	-0.31891366970146	-0.0480611530900559	0.690693757484338	-4.97848389294368	-7.44160477866006	-137.461987560854	0
