Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	-0.079942549605175	-0.369628924556491	1.12555349310316	-28.8446172045514	-29.9719724669031	67.0598598622729	0
2	0.015625	-0.123224440000665	-0.401768378601599	1.19417629620355	-31.2014455255094	-31.2269831446115	75.0834648275138	0
3	0.0234375	-0.111547259093	-0.430846693932909	1.24384976144874	-32.7174149717638	-30.8624338157615	78.8178756996855	0
4	0.03125	-0.059882567999398	-0.460865920105844	1.22419524416221	-35.5814583130162	-28.2109997124475	89.0205228410183	0
5	0.0390625	0.0390681700482647	-0.404108573790454	1.19263488296856	-39.7969818379268	-24.0434452038814	109.223574818047	0
6	0.046875	0.0335753882467029	-0.42539587244876	1.13475553895932	-41.3800617522776	-24.6424029659191	117.432684382975	0
7	0.0546875	0.0632941578548637	-0.37779522678884	1.12770557639907	-40.2804814009875	-25.9681572387847	134.434333380489	0
8	0.0625	0.141596843441769	-0.379623517869907	1.17213957101715	-39.9993230358819	-25.4539347635482	151.760522868082	0
9	0.0703125	0.379045465937323	-0.357489388166138	1.16600270012306	-37.5189105473064	-20.1983341219241	163.689887812407	0
10	0.078125	0.572808303618076	-0.292349764163971	1.18856015724098	-40.0670642411348	-8.72692874683768	209.038390966025	0
11	0.0859375	0.384858348210105	-0.704013333959523	1.11024669150332	-40.3874448725147	-8.35955145820326	257.020383514939	0
12	0.09375	0.308004838929428	-0.693839474490526	1.08677803479793	-42.9265237327945	-15.1139680018802	302.214240072422	0
13	0.1015625	0.27726717705806	-0.625042803523992	1.07778110797277	-53.6877833902149	-29.9017458116319	381.190826411503	0
14	0.109375	0.18870438699373	-0.862975564010284	0.979058660073314	-52.303120851277	-42.7501246098393	428.82138029746	0
15	0.1171875	0.0994301492237805	-0.871687652205852	0.99406085142666	-51.7036415895937	-47.2698863251432	448.91607397375	0
16	0.125	0.00293005930760136	-0.938268339643813	1.0492183430022	-49.4489176330003	-49.864099916652	479.144258561064	0
17	0.1328125	0.00121367755350525	-0.935946177389272	1.12315457502402	-43.2403111895249	-47.8180657837726	496.147463501467	0
18	0.140625	-0.0561204900610169	-0.861716644419983	1.09916725452951	-43.0960281312429	-45.8218492739908	503.468823478508	0
19	0.1484375	-0.18478751791987	-0.609871646603774	1.06863436994563	-45.8025229365341	-40.8111579492822	508.303596075398	0
20	0.15625	-0.175622800387489	-0.450588866991497	1.01483473240898	-41.0787738525096	-30.3582832679772	495.582615149499	0
21	0.1640625	-0.171791532954033	-0.471024127883698	0.953677908733225	-28.5645913159596	-21.1495635257419	468.517955796611	0
22	0.171875	-0.161840964079894	-0.421069209715969	0.959636299509608	-23.7164060404334	-17.0427036677224	455.931050398437	0
23	0.1796875	-0.0471396809894132	-0.327218043223631	0.928229690817783	-21.5645303619349	-11.5406163097094	428.000609047239	0
24	0.1875	-0.0226508595849868	-0.318032558343661	1.03501067836376	-22.6613582088425	-4.02296342074244	408.357656672279	0
25	0.1953125	-0.069319887822512	-0.337582267390049	1.04766427092763	-25.2560459904683	-2.43905428142135	403.880590396528	0
26	0.203125	-0.0622115131037033	-0.354779425058354	1.06131169018764	-28.3802447896253	0.497904698730985	395.949592104447	0
27	0.2109375	0.00973569883333705	-0.426742773775945	1.03500384668491	-27.9414754812906	3.27579342590031	391.746735868344	0
28	0.21875	0.0287093570423595	-0.410393868382487	1.06605571918669	-28.6126508491745	6.21217796456368	391.934983828111	0
29	0.2265625	-0.0587569050083439	-0.455520469921836	1.04197606296988	-32.1797887132086	8.25988264326624	392.560360486228	0
30	0.234375	-0.122235844755194	-0.403576586478448	1.00665701259821	-35.4727128686276	9.79672442326129	392.883806636974	0
31	0.2421875	-0.175183297609688	-0.437317731555689	0.980230544832102	-35.7630223970225	10.2569254080918	389.31430118287	0
32	0.25	-0.216375328516804	-0.42152705095521	0.924863243093679	-33.2880822311395	10.6890372939958	377.457726726077	0
33	0.2578125	-0.322593642062116	-0.461752815322995	0.860221726175416	-29.9882939466535	10.1423331282952	360.181847681394	0
34	0.265625	-0.357039094627375	-0.446614612455743	0.810381845355614	-24.9303562650912	8.33629366051711	345.556863602822	0
35	0.2734375	-0.440716233959385	-0.49476275786934	0.806034990205371	-15.9508354756677	7.26395977192409	319.98405802546	0
36	0.28125	-0.510436479792071	-0.538439917319477	0.732787740059105	-4.02575974211202	1.94896372407819	286.02736999589	0
37	0.2890625	-0.521671370296891	-0.566982646846627	0.783598777138444	-0.987729815196425	1.27714207221218	274.845494192908	0
38	0.296875	-0.540831656093764	-0.573420171745114	0.749594109909153	9.10745932071564	-7.38269858751558	247.632482792679	0
39	0.3046875	-0.488098537181045	-0.581914379671217	0.87510146903151	11.0564240789922	-12.9351230697871	235.852797189008	0
40	0.3125	-0.446314174415691	-0.577288045759471	0.819638908999906	15.4810908352096	-26.1487346582748	218.719989198735	0
41	0.3203125	-0.262364878616163	-0.524529092851119	0.946431356056085	12.7498225615404	-26.8024678360558	221.964716680626	0
42	0.328125	-0.932378246707612	-1.10477247960384	0.826699283907252	3.15998957633292	-39.5229021764718	223.74097956871	0
43	0.3359375	-2.0612643528949	-0.685427676460349	0.690861855631889	7.84466875269208	-74.0644940785327	234.072455556423	0
44	0.34375	-2.14125903107145	-0.790919440028938	0.370676836980115	32.329435741683	-95.2852633719729	205.058967811139	0
45	0.3515625	-0.689313422875102	-0.878839579411582	0.535932245758268	63.9184449120931	-109.75958095182	123.179826083021	0
46	0.359375	0.292720520147991	-0.648501357841514	1.16326840751113	68.6270666464642	-92.1323219978423	142.761743362817	0
47	0.3671875	0.55969753286144	0.166358010439317	2.0252500337236	46.0311941801294	-74.9737090319039	184.782190269652	0
48	0.375	0.476312555807173	1.57494342034362	3.08311086462931	-8.74091345228587	-55.0385416634043	198.025569140061	0
49	0.3828125	-0.627045799926895	0.718211477267814	2.02142755670266	-23.7977120146604	-47.660828339143	138.504066832781	0
50	0.390625	-1.20952252956662	0.0940367580325897	1.11465100476741	-10.3047948632978	-54.5527145949887	108.350648580105	0
51	0.3984375	-1.28632772415468	-0.303768182319601	0.704266445333973	12.5596745069145	-45.9798449890766	78.0727577003625	0
52	0.40625	-0.828922941428099	-0.401894449914179	0.833708746786517	37.7905461579509	-24.7774666794533	33.1610358189947	0
53	0.4140625	-0.515925931514172	-0.108359646245296	1.00968386536496	33.6623732672477	-5.07796345267493	26.0202031451252	0
54	0.421875	-0.25537387592358	-0.134505342999429	0.907800835122114	28.0374961672365	16.6811754201519	-23.1289412563972	0
55	0.4296875	-0.0923952262997255	-0.291150234854425	1.02455929721507	27.190768325784	32.9458295851328	-60.9897470815472	0
56	0.4375	-0.0878212022042508	-0.501707403674615	0.917803297278162	26.7478044877782	33.8972447352026	-70.1976121830496	0
57	0.4453125	0.105918264062459	-0.602958409787345	1.03922115917695	17.5590350344109	37.4636559962368	-63.1321481492697	0
58	0.453125	0.0726343559813697	-0.658847684042486	1.01898251648298	13.3365062086846	31.8447106779156	-61.477411720868	0
59	0.4609375	0.111900111526448	-0.502820491267136	1.11922828595199	10.9599578884967	26.0841350289662	-50.9968559018742	0
60	0.46875	0.109819754185834	-0.479802075526319	1.08227566714941	9.32797464605875	18.6434773479447	-50.0319165191198	0
61	0.4765625	0.171600337288419	-0.247264665895392	1.17314255014407	4.92984607315796	6.13982652893081	-22.6431243914956	0
62	0.484375	0.0771590072756281	-0.1560833275766	1.15355398859425	2.95822003078429	-4.35350119324433	13.213777326056	0
63	0.4921875	0.0221877388859349	-0.139097912726567	1.16419183941106	3.43512628298823	-6.96501900729472	30.9478051964659	0
64	0.5	-0.056478198267744	-0.124183474744522	1.15680254424199	3.37508798794076	-9.17575572547489	47.5258915449951	0
65	0.5078125	-0.132427895182404	-0.112389423620907	1.12048435020686	3.64919944936065	-9.16382821868529	41.7492711842233	0
66	0.515625	-0.130638420747933	-0.15857733618	1.09958586072484	4.18463445810634	-8.14259273143327	34.2311815891183	0
67	0.5234375	-0.0419507750528667	-0.205758982011324	1.07216980902827	6.2033025805903	-8.99729552462985	21.7261541510832	0
68	0.53125	0.0804403489865583	-0.176547174923836	1.12020272589063	4.51215028955421	-10.3889498978939	15.2068549487185	0
69	0.5390625	0.0769817205972678	-0.153605046258247	1.13882888158496	3.65344992667165	-12.9667036791567	13.6972202095191	0
70	0.546875	0.0312449151402949	-0.188630502777282	1.17428559097728	1.09925509498466	-16.3273828647912	18.9662085937752	0
71	0.5546875	-0.00894765477665172	-0.242442576615015	1.13727032219015	0.224560365564066	-21.2261641988797	27.8230683784522	0
72	0.5625	0.0260603230793021	-0.242015941296604	1.12811893506988	-0.750273937131868	-22.4499918725455	33.3425474841611	0
73	0.5703125	0.0369993961876623	-0.219073985293762	1.09037223285952	-2.75988346693402	-25.4273283606671	42.7197497069779	0
74	0.578125	-0.003008837620009	-0.211582236305447	1.12099803420832	-5.39656501037375	-27.6476629959068	45.8833244118062	0
75	0.5859375	-0.0208344943338234	-0.237486249751875	1.11321070671555	-6.94812350758349	-29.7490056073863	45.8208437190283	0
76	0.59375	0.0264718715849302	-0.192870438679078	1.12709110296539	-10.3957313395224	-32.4358316638745	49.332744130476	0
77	0.6015625	-0.00188957042547756	-0.221445975535763	1.11304049597672	-13.6464812869034	-35.6859863522387	54.9569272224463	0
78	0.609375	-0.0590360850586399	-0.227193660795726	1.09576099601903	-16.6147325867745	-38.6030482125622	60.0543158973841	0
79	0.6171875	-0.0664878263975212	-0.258071275094641	1.07868741987492	-17.7087417085146	-41.0245599147154	62.3683744772524	0
80	0.625	-0.031255300763727	-0.290946927259279	1.07210492050646	-17.6335551174947	-42.8598194884447	67.8483167251164	0
81	0.6328125	-0.0776496369492551	-0.278386269809999	1.06883304333303	-19.7908068441353	-42.8768480031257	68.4352776005946	0
82	0.640625	-0.122398984765094	-0.282701904278996	1.06340190440234	-20.9081581581393	-42.8378758209596	68.1033919453727	0
83	0.6484375	-0.139435245148098	-0.308075524712031	1.0456990591369	-23.4153591348034	-43.9269370620879	70.8169048098583	0
84	0.65625	-0.128162298118063	-0.313324229827215	1.05110855410281	-24.0201949705703	-43.3712571843985	73.3025570920928	0
85	0.6640625	-0.121489789985443	-0.298735884657932	1.05650574668601	-25.5119051181283	-43.2563398551248	76.2082234189797	0
86	0.671875	-0.14105500628786	-0.289881747523268	1.05276633446657	-27.6235754529824	-43.4741292825368	77.9682339179673	0
87	0.6796875	-0.170945537717317	-0.292946926283075	1.05856211485728	-28.7060716305071	-43.9319134761256	80.4459534216521	0
88	0.6875	-0.17205073024295	-0.287786056771697	1.05331342713938	-28.5749629357581	-44.0679612105586	81.02940341703	0
89	0.6953125	-0.150783426798086	-0.253101520227761	1.07575581395271	-29.512804930423	-43.3732198033127	83.5626585189049	0
90	0.703125	-0.179941788543541	-0.240660984186061	1.0640714641188	-31.6713753122321	-43.2163387215786	82.7033856428774	0
91	0.7109375	-0.199339546277951	-0.237968606392948	1.06741599640872	-31.938150394687	-42.987566680919	82.5104371491352	0
92	0.71875	-0.245421552661489	-0.266319467883692	1.06335149587434	-31.8366130264843	-42.5109717634018	80.7319392294878	0
93	0.7265625	-0.256082842873776	-0.283790670228133	1.07942933260758	-32.0135287958556	-40.6899741494924	80.3016838949931	0
94	0.734375	-0.259272342774257	-0.286297357571215	1.07377119146355	-32.0380372031466	-40.0835340810859	80.6318689373195	0
95	0.7421875	-0.18280095372635	-0.306872207164959	1.08939678148462	-32.1916734889425	-37.9264475591848	81.0635635837195	0
96	0.75	-0.141146550235237	-0.292487215553055	1.10870863738654	-33.9999503810605	-36.1100568830647	83.542889597079	0
97	0.7578125	-0.19511001645326	-0.355117170330238	1.09687353448566	-35.0982244518571	-35.2985730895576	82.6551254967546	0
98	0.765625	-0.214984524743792	-0.363719420830703	1.10553577230286	-35.5798842076839	-36.0926518044154	83.6460617103874	0
99	0.7734375	-0.164311547950839	-0.376318624774994	1.15956885521045	-36.4891539570743	-34.5395265064159	83.764888629926	0
