Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	-0.0175977176033353	0.20735415806483	1.16664116411487	-61.0808568018844	41.8370074914521	-74.63581304025	0
2	0.015625	0.0462160927210596	0.0293848875836572	1.04372838417047	-65.8654297217283	41.845819881819	-79.6949933449338	0
3	0.0234375	0.0309101060484352	0.226068458702335	1.10429951625104	-53.6896491316548	41.6884510964882	-80.3956212767302	0
4	0.03125	0.0134475282852861	0.118285925005866	1.05130756826846	-66.450058160846	39.8318603512614	-83.585087527881	0
5	0.0390625	0.000760640510656644	0.0547101664221973	0.995899157338916	-66.0937778953308	38.1917644846735	-87.1974983487725	0
6	0.046875	-0.0476969615002462	0.15559512566232	1.00231196390024	-58.7242758202478	37.8676627550375	-96.7714412148059	0
7	0.0546875	0.0892127532556832	0.0525414181356211	0.976315307905006	-61.2632194698575	36.2624335715442	-113.07896044393	0
8	0.0625	0.0593754762022727	0.0780816428640799	0.956966640096045	-59.0992442458574	38.9563645211266	-115.181844744466	0
9	0.0703125	0.119338006869306	0.112779405032848	1.02549101877691	-59.5478654398512	37.5945872893417	-127.309133293212	0
10	0.078125	0.179354694543326	0.0372514110475041	1.01670028877055	-63.0219266837194	38.0388536922442	-133.899575562557	0
11	0.0859375	-0.0982411109588381	0.192060131110759	1.00421854131767	-57.1675193107587	37.2593825113539	-136.004496306127	0
12	0.09375	-0.677610773418406	0.150722669870047	0.917421862189142	-66.1857443945468	29.0754069350256	-143.844072706158	0
13	0.1015625	-0.92851062922017	-0.153065233383103	0.765191997210507	-64.8839745187754	21.2492325057145	-178.502294755791	0
14	0.109375	-0.38160716811276	-0.280979320103797	0.796481281205624	-40.8898729467391	12.232569189592	-252.14360374697	0
15	0.1171875	-0.225176537688317	-0.28820861878205	0.84885017579942	-45.6190046736299	19.1487761040852	-264.602316660487	0
16	0.125	-0.155875065676407	-0.406525412210422	0.806625620723502	-50.0070814325654	17.0501203437707	-263.242122055744	0
17	0.1328125	0.0242726523532142	-0.277126940749486	0.838409015426184	-41.1974855984978	6.70719616364667	-251.582011243788	0
18	0.140625	0.0498611228605907	-0.282595001360295	0.88728790823275	-47.3050233108641	0.249155237545951	-226.769694289509	0
19	0.1484375	0.0627031934406767	-0.320536488151962	0.878446915547511	-46.6467919912031	-5.25132744805991	-216.435181815562	0
20	0.15625	0.0666547777376728	-0.152805934151202	0.875391291087829	-41.6797193604211	-12.8954224560237	-192.030324575626	0
21	0.1640625	0.0712354824124229	-0.192733648063056	0.81565313828735	-43.2463516660867	-23.4294110160947	-176.254703700387	0
22	0.171875	0.0746011542831038	-0.155530709103432	0.787616468591738	-41.1596963445136	-28.4713068072351	-167.211991987911	0
23	0.1796875	0.00597027578419273	-0.101979102860626	0.778991397005275	-38.2422608026072	-38.7962865701516	-153.10478057059	0
24	0.1875	-0.111256141425862	-0.10693981265236	0.766808276841334	-37.4569715530129	-47.5537170667952	-148.623369916368	0
25	0.1953125	-0.138397973473477	-0.123249797606755	0.768585891538189	-35.4102885310158	-51.4680495809151	-154.445877222053	0
26	0.203125	-0.187095392075286	-0.134036274136463	0.782882441799933	-30.9606174230908	-55.4833224275469	-167.277534120784	0
27	0.2109375	-0.194603378962123	-0.196789920631946	0.785297575640069	-28.3915792948227	-57.4939431521952	-186.493781582967	0
28	0.21875	-0.206513243041166	-0.245047635963357	0.761663627330297	-27.2297330299682	-59.1909607249082	-196.796397215152	0
29	0.2265625	-0.107425049577476	-0.303255571704853	0.758390525986754	-23.4661977673339	-62.3127471721469	-218.956807374263	0
30	0.234375	-0.055358246667447	-0.339081330037248	0.757807633902455	-20.6074780521865	-63.8932522789383	-232.253796366777	0
