Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	-0.135588654406157	-0.130933437859386	1.06384024691455	3.61913921753133	21.0550053191174	-2.86192735801147	0
2	0.015625	-0.120452555956267	-0.135312142765495	1.09712602986415	4.47278000694524	21.8739053176025	-4.01622762938775	0
3	0.0234375	-0.164804337252429	-0.119021367160182	1.12959760109048	3.89788575345061	24.1221928416089	-2.82592385240611	0
4	0.03125	-0.167654605807441	-0.137172561467499	1.14185871861902	2.90736969930519	24.637262902149	-3.19861659133502	0
5	0.0390625	-0.224062364967734	-0.150861312499079	1.14562389456775	2.13487169232433	27.0567686632702	-4.18247588466361	0
6	0.046875	-0.218204596155287	-0.0337188003675099	1.20363028107626	1.92193788289652	28.5520525256815	-9.48099069299302	0
7	0.0546875	-0.220582784687557	0.0328643638424845	1.22016251395006	-0.239418445314248	30.8009686838255	-14.0990891816122	0
8	0.0625	-0.279443732816144	0.0156111143069317	1.21026109870028	-3.80113985177995	36.0030982945961	-28.0382629207583	0
9	0.0703125	-0.278934372703403	0.0715428053723913	1.14211227121485	-6.48310699381659	40.472392180691	-43.1601117720425	0
10	0.078125	-0.316718683130284	0.0426924016551311	1.06356883871183	-9.57888065291069	42.0099094889028	-47.0545092873808	0
11	0.0859375	-0.0687564927489566	0.0082853483698028	1.09242460911985	-9.0961770421506	40.9387941301962	-61.2895471931524	0
12	0.09375	-0.0658176085265147	0.0714245195461523	1.07804144306907	-15.1679742398318	49.6105481005213	-59.0922959551226	0
13	0.1015625	-0.0883476309621163	0.0978369697625667	1.05077617623067	-18.391199305286	52.6460570892723	-59.7371125041558	0
14	0.109375	0.0273780129203439	0.0897000654154693	0.984468127779227	-17.0926478873406	53.56555911597	-71.3536462738374	0
15	0.1171875	0.182296491200516	0.0702325956787013	0.966777590664983	-14.4133987520773	53.290814536279	-83.659207848137	0
16	0.125	0.26263098598714	0.0828124355597838	0.974796863421386	-13.2971503287124	56.3753229421524	-90.9396744158371	0
17	0.1328125	0.109663949176641	0.136553899306788	0.877619402198777	-16.993486848834	59.6141666599791	-97.2869952712128	0
18	0.140625	0.0995712615306832	0.100968801552715	0.753951603028811	-18.7341216589265	55.8420025176132	-108.663033086911	0
