Frame #	Time [s]	ACC ML [g]	ACC AP [g]	ACC SI [g]	GYR ML [deg/s]	GYR AP [deg/s]	GYR SI [deg/s]	Freezing event [flag]
1	0.0078125	0.129807857967233	0.650935000699739	1.51124526316186	-32.3072916275376	25.9485492544617	-54.1720295525241	0
2	0.015625	0.16629278136262	0.868952418155159	1.48387314025305	-48.1010699003126	30.7108400476597	-53.998099364569	0
3	0.0234375	-0.0784983236428887	0.0651128141920785	1.24981920559307	-43.3422391421607	38.6355902130969	-75.3640941487963	0
4	0.03125	-0.148263967738658	-0.0440473962448409	1.31792199105563	-44.4351252718254	42.6414572663713	-92.7990336819469	0
5	0.0390625	-0.0875207816372764	-0.0356239227325144	1.34255037196298	-46.2936518090876	45.5945769773925	-99.4416299442269	0
6	0.046875	-0.131707038112105	-0.059018113836661	1.36232749520419	-46.1062410315633	53.356757087318	-101.170277536111	0
7	0.0546875	-0.162167365486694	-0.0439531691581677	1.35002651283283	-48.0283263401586	58.1535036349233	-110.288162423521	0
8	0.0625	-0.133450151911617	-0.122894736644753	1.31006932484995	-47.4443976844006	60.362416678007	-114.879813564956	0
9	0.0703125	-0.0371323855625979	-0.0771417796608081	1.30817550163737	-49.5891095674521	63.4872080117604	-118.487884560009	0
10	0.078125	0.0783001430480806	-0.0845567166713385	1.33513480738101	-52.2062077237904	65.6854333378374	-113.095052173173	0
11	0.0859375	0.0883650077025911	-0.144117220355064	1.32269318986659	-57.7155897969706	66.2298348245372	-104.784839579439	0
12	0.09375	-0.0376064518937394	-0.15971223222145	1.24826887407493	-57.6644200849149	66.0589403984215	-96.9719180650877	0
13	0.1015625	-0.128722450570548	-0.188406568563092	1.12048967499602	-55.6195716441518	66.703140313046	-99.6039910720531	0
14	0.109375	-0.0125416962949801	-0.237588432001638	1.12443104570953	-53.2735382831024	66.7358353187505	-107.72310342657	0
15	0.1171875	0.078223108262339	-0.286285245817134	1.0652810924796	-51.5469113958814	67.4012313964435	-107.225593987332	0
16	0.125	0.0263569679725232	-0.189826502924088	1.04720940120623	-47.6984118702071	65.5384045303136	-103.390335025689	0
17	0.1328125	0.013551717063414	-0.174448147723438	1.05289197626485	-48.868470537841	62.5778231542384	-106.039707454934	0
